GAUGE	type	tone_sgn	base_x	base_y	head_x	head_y	plot_CD	draw_CD	wafer_CD	cost_wt	GroupName	Mask_size	CD	range_min	range_max	check_status	Model Error	Model CD	Error %	Through Cond. Error	ADI Model CD	ILS Result (1/um)	AI_CD	Gauge Center X	Gauge Center Y	Spec_error
Site_R101_C4	2D	-1	1966550	6833705	1966550	6832705	2070	117	125.71	1	den_le	vrf	140	-5.85	5.85	1	-2.93	122.78	2.33	2.93	0	36.5962	109.49	0	0	0
Site_R101_C5	2D	-1	1966550	6829565	1966550	6828565	2100	171	181.03	1	den_le	vrf	200	-8.55	8.55	1	-4.7	176.33	2.6	4.7	0	39.6763	160.1	0	0	0
Site_R101_C6	2D	-1	1966550	6825425	1966550	6824425	2150	261	271.67	1	den_le	vrf	300	-13.05	13.05	1	-5.3	266.37	1.95	5.3	0	37.7403	249.99	0	0	0
Site_R102_C1	2D	-1	1971054	6845599.3	1971054	6845650.7	2030	51.4	50.95	0.2	den_le	2D	60	-5	5	1	7.03	57.98	13.79	7.03	0	18.082	59.9	0	0	2.02643
Site_R102_C3	2D	-1	1971053.95	6837312	1971053.95	6837378	2050	66	89.46	1	den_le	2D	100	-5	5	1	-0.57	88.89	0.64	0.57	0	27.7873	86.09	0	0	0
Site_R102_C4	2D	-1	1971054	6833158.7	1971054	6833251.3	2070	92.6	123.7	1	den_le	2D	140	-5	5	1	0.13	123.83	0.1	0.13	0	34.3661	114.99	0	0	0
Site_R102_C5	2D	-1	1971054	6828994.2	1971054	6829135.8	2100	141.6	178.46	1	den_le	2D	200	-7.08	7.08	1	-2.36	176.1	1.32	2.36	0	37.9683	164.17	0	0	0
Site_R102_C6	2D	-1	1971054	6824809.5	1971054	6825040.5	2150	231	267.11	1	den_le	2D	300	-11.55	11.55	1	-1.47	265.64	0.55	1.47	0	39.6587	253.19	0	0	0
Site_R103_C1	2D	-1	1975550	6846125	1975550	6845125	2030	49	51.66	1	den_le	vrf	60	-5	5	1	1.58	53.24	3.06	1.58	0	18.1501	54.38	0	0	0
Site_R103_C2	2D	-1	1975550	6841985	1975550	6840985	2040	63	68.66	1	den_le	vrf	80	-5	5	1	-1.72	66.94	2.5	1.72	0	22.6601	66.36	0	0	0
Site_R103_C3	2D	-1	1975550	6837845	1975550	6836845	2050	81	85.54	1	den_le	vrf	100	-5	5	1	-0.1	85.44	0.11	0.1	0	28.2613	82.02	0	0	0
Site_R103_C4	2D	-1	1975550	6833705	1975550	6832705	2070	117	125.93	1	den_le	vrf	140	-5.85	5.85	1	-4.44	121.49	3.53	4.44	0	33.9885	112.13	0	0	0
Site_R103_C5	2D	-1	1975550	6829565	1975550	6828565	2100	171	180.11	1	den_le	vrf	200	-8.55	8.55	1	-5.31	174.8	2.95	5.31	0	41.09	162.44	0	0	0
Site_R103_C6	2D	-1	1975550	6825425	1975550	6824425	2150	261	269.29	1	den_le	vrf	300	-13.05	13.05	1	-5.01	264.28	1.86	5.01	0	39.1719	251.38	0	0	0
Site_R104_C1	2D	-1	1980054	6845586.8	1980054	6845663.2	2030	76.4	60.53	0.2	den_le	2D	60	-5	5	1	-12.91	47.62	21.33	12.91	0	21.3091	54.55	0	0	7.91284
Site_R104_C2	2D	-1	1980054	6841527.9	1980054	6841442.1	2040	85.8	72.46	0.2	den_le	2D	80	-5	5	1	-10.31	62.15	14.22	10.31	0	24.9621	66.95	0	0	5.30535
Site_R104_C3	2D	-1	1980054	6837293.2	1980054	6837396.8	2050	103.6	94.75	0.2	den_le	2D	100	-5.18	5.18	1	-10.01	84.74	10.56	10.01	0	28.2572	85.82	0	0	5.00736
Site_R104_C4	2D	-1	1980054	6833139.7	1980054	6833270.3	2070	130.6	133.88	1	den_le	2D	140	-6.53	6.53	1	-5.34	128.54	3.99	5.34	0	31.9458	123.71	0	0	0
Site_R104_C5	2D	-1	1980054	6828975.8	1980054	6829154.2	2100	178.4	193.47	0.5	den_le	2D	200	-8.92	8.92	1	-10.11	183.36	5.23	10.11	0	40.3822	175.68	0	0	0.440884
Site_R104_C6	2D	-1	1980054	6824790.7	1980054	6825059.3	2150	268.6	285.14	0.5	den_le	2D	300	-13.43	13.43	1	-11.8	273.34	4.14	11.8	0	39.4374	264.82	0	0	0
Site_R97_C1	2D	-1	1948553.55	6845606	1948553.55	6845644.1	2030	38.1	46.47	0	den_le	pw	60	-5	5	1	3.14	49.61	6.76	2.54	0	17.3622	48.39	0	0	0
Site_R97_C2	2D	-1	1948553.55	6841463.2	1948553.55	6841506.8	2040	43.6	61.19	1	den_le	2D	80	-5	5	1	2.18	63.37	3.56	2.18	0	20.8054	60.68	0	0	0
Site_R97_C3	2D	-1	1948553.55	6837318	1948553.5	6837371.9	2050	53.9	82.52	1	den_le	2D	100	-5	5	1	-1.15	81.37	1.39	1.15	0	25.5357	76.5	0	0	0
Site_R97_C4	2D	-1	1948553.55	6833166	1948553.55	6833244	2070	78	121.11	1	den_le	2D	140	-5	5	1	-3.59	117.52	2.96	3.59	0	28.6669	107.23	0	0	0
Site_R97_C5	2D	-1	1948553.55	6829003.8	1948553.55	6829126.2	2100	122.4	177.19	1	den_le	2D	200	-6.12	6.12	1	-4.52	172.67	2.55	4.52	0	31.7899	158.27	0	0	0
Site_R97_C6	2D	-1	1948553.5	6824817.4	1948553.55	6825032.6	2150	215.2	267.82	1	den_le	2D	300	-10.76	10.76	1	-4.9	262.92	1.83	4.9	0	29.2922	247.3	0	0	0
Site_R98_C1	2D	-1	1953050	6846125	1953050	6845125	2030	49	57.3	1	den_le	vrf	60	-5	5	1	-6.66	50.64	11.62	6.66	0	17.4806	50.18	0	0	1.65782
Site_R98_C2	2D	-1	1953050	6841985	1953050	6840985	2040	63	67.57	1	den_le	vrf	80	-5	5	1	-3.61	63.96	5.34	3.61	0	21.4938	62.34	0	0	0
Site_R98_C3	2D	-1	1953050	6837845	1953050	6836845	2050	81	84.04	1	den_le	vrf	100	-5	5	1	-2.12	81.92	2.52	2.12	0	27.0626	78.1	0	0	0
Site_R98_C4	2D	-1	1953050	6833705	1953050	6832705	2070	117	123.89	1	den_le	vrf	140	-5.85	5.85	1	-5.91	117.98	4.77	5.91	0	32.2731	108.61	0	0	0
Site_R98_C5	2D	-1	1953050	6829565	1953050	6828565	2100	171	176.77	1	den_le	vrf	200	-8.55	8.55	1	-3.91	172.86	2.21	3.91	0	35.3724	158.61	0	0	0
Site_R98_C6	2D	-1	1953050	6825425	1953050	6824425	2150	261	266.89	1	den_le	vrf	300	-13.05	13.05	1	-4.31	262.58	1.62	4.31	0	33.2097	247.62	0	0	0
Site_R99_C1	2D	-1	1957550	6846125	1957550	6845125	2030	49	50.15	1	den_le	vrf	60	-5	5	1	6.01	56.16	11.98	6.01	0	19.2194	51.28	0	0	1.00619
Site_R99_C2	2D	-1	1957550	6841985	1957550	6840985	2040	63	69.52	1	den_le	vrf	80	-5	5	1	-0.4	69.12	0.57	0.4	0	22.9072	63.81	0	0	0
Site_R99_C3	2D	-1	1957550	6837845	1957550	6836845	2050	81	86.52	1	den_le	vrf	100	-5	5	1	-0.27	86.25	0.32	0.27	0	27.9503	79.41	0	0	0
Site_R99_C4	2D	-1	1957550	6833705	1957550	6832705	2070	117	120.92	1	den_le	vrf	140	-5.85	5.85	1	1.4	122.32	1.16	1.4	0	33.6004	110.02	0	0	0
Site_R99_C5	2D	-1	1957550	6829565	1957550	6828565	2100	171	179.73	1	den_le	vrf	200	-8.55	8.55	1	-4.03	175.7	2.24	4.03	0	35.6249	158.84	0	0	0
Site_R99_C6	2D	-1	1957550	6825425	1957550	6824425	2150	261	268.38	1	den_le	vrf	300	-13.05	13.05	1	-2.49	265.89	0.93	2.49	0	38.7187	248.68	0	0	0
Site_R121_C1	2D	1	2056553.55	6845665.6	2056553.55	6845585.4	131	80.2	72.47	1	den_Tjunc	pw	71	-5	5	1	2.47	74.94	3.41	5.34	0	22.5525	71.63	0	0	0
Site_R121_C2	2D	1	2056553.55	6841528.6	2056553.55	6841442.3	141	86.3	73.65	1	den_Tjunc	2D	71	-5	5	1	0.86	74.51	1.17	0.86	0	25.131	72.07	0	0	0
Site_R121_C3	2D	1	2056553.55	6837390.2	2056553.55	6837300.7	151	89.5	70.75	1	den_Tjunc	2D	71	-5	5	1	3.78	74.53	5.34	3.78	0	26.5743	72.87	0	0	0
Site_R121_C4	2D	1	2056553.55	6833251.5	2056553.55	6833159.3	171	92.2	67.63	1	den_Tjunc	2D	71	-5	5	1	4.38	72.01	6.48	4.38	0	30.2483	72.86	0	0	0
Site_R121_C5	2D	1	2056553.55	6829110.3	2056553.55	6829020.6	191	89.7	63.06	1	den_Tjunc	2D	71	-5	5	1	3.26	66.32	5.17	3.26	0	33.5505	69.91	0	0	0
Site_R121_C6	2D	1	2056553.55	6824969.6	2056553.55	6824881.3	221	88.3	57.09	1	den_Tjunc	2D	71	-5	5	1	3.35	60.44	5.87	3.35	0	37.9123	66.48	0	0	0
Site_R122_C1	2D	1	2061053.55	6845665	2061053.55	6845585.9	131	79.1	73.34	1	den_Tjunc	2D	71	-5	5	1	1.36	74.7	1.86	1.36	0	23.0306	71.27	0	0	0
Site_R122_C2	2D	1	2061053.55	6841525.5	2061053.55	6841445.3	131	80.2	70.83	1	den_Tjunc	2D	71	-5	5	1	4.11	74.94	5.8	4.11	0	22.532	71.61	0	0	0
Site_R122_C3	2D	1	2061053.55	6837385.4	2061053.55	6837305.5	131	79.9	71.61	1	den_Tjunc	2D	71	-5	5	1	3.24	74.85	4.53	3.24	0	21.9575	71.53	0	0	0
Site_R122_C4	2D	1	2061053.55	6833244.3	2061053.55	6833166.6	131	77.7	72.38	1	den_Tjunc	2D	71	-5	5	1	2.05	74.43	2.83	2.05	0	20.7996	70.93	0	0	0
Site_R122_C5	2D	1	2061053.55	6829102.1	2061053.55	6829028.8	131	73.3	68.18	0.5	den_Tjunc	2D	71	-5	5	1	6.39	74.57	9.37	6.39	0	19.9866	71.11	0	0	1.39007
Site_R122_C6	2D	1	2061053.55	6824957.3	2061053.55	6824893.6	131	63.7	70.81	1	den_Tjunc	2D	71	-5	5	1	3.8	74.61	5.37	3.8	0	18.9015	70.69	0	0	0
Site_R123_C1	2D	1	2065554	6845604.4	2065554	6845646.5	71	42.1	58.84	1	den_Tjunc2	2D	71	-5	5	1	0.55	59.39	0.94	0.55	0	28.6085	56.15	0	0	0
Site_R123_C2	2D	1	2065554	6841462.2	2065554	6841508.7	71	46.5	54.8	1	den_Tjunc2	2D	71	-5	5	1	3.91	58.71	7.14	3.91	0	29.7138	55.89	0	0	0
Site_R123_C3	2D	1	2065554	6837320.1	2065554	6837370.8	71	50.7	58	1	den_Tjunc2	2D	71	-5	5	1	0.72	58.72	1.24	0.72	0	30.8501	56.34	0	0	0
Site_R123_C4	2D	1	2065533.75	6833176.9	2065533.75	6833234	71	57.1	52.58	0.2	den_Tjunc2	2D	71	-5	5	1	7.26	59.84	13.81	7.26	0	31.9564	58.41	0	0	2.25919
Site_R123_C5	2D	1	2065550	6829129.3	2065550	6829001.7	71	63.8	57.95	1	den_Tjunc2	2D	71	-5	5	1	0.24	58.19	0.41	0.24	0	37.0299	58.5	0	0	0
Site_R123_C6	2D	1	2065554	6824887.6	2065554	6824963.3	71	75.7	54.42	1	den_Tjunc2	2D	71	-5	5	1	4.33	58.75	7.96	4.33	0	40.2874	61.19	0	0	0
Site_R3_C4	1D	1	1525554	6833237.4	1525554	6833173.5	141	63.9	68.09	1	Dose_dense	pw	71	-2	2	0	0.78	68.87	1.15	2.24	0	24.1263	64.33	0	0	0
Site_R3_C6	1D	1	1525554	6824957.4	1525554	6824893.5	141	63.9	67.78	1	Dose_dense	1D	71	-2	2	0	1.09	68.87	1.61	1.09	0	24.1261	64.33	0	0	0
Site_R3_C1	1D	1	1525554	6845584.5	1525554	6845665.5	90	81	61.41	1	Dose_iso	pw	90	-2	2	0	-0.84	60.57	1.38	2.07	0	40.438	69.04	0	0	0
Site_R3_C2	1D	1	1525554	6841444.5	1525554	6841525.5	90	81	61.26	1	Dose_iso	1D	90	-2	2	0	-0.62	60.64	1.01	0.62	0	40.5925	69.11	0	0	0
Site_R3_C3	1D	1	1525554	6837304.5	1525554	6837385.5	90	81	60.85	1	Dose_iso	1D	90	-2	2	0	0.13	60.98	0.22	0.13	0	40.6593	69.44	0	0	0
Site_R80_C1	2D	-1	1872054	6845655.4	1872054	6845594.6	131	60.8	47.67	1	double	1D	60	-5	5	1	-0.72	46.95	1.51	0.72	0	18.9523	53.66	0	0	0
Site_R80_C2	2D	-1	1872054	6841517.5	1872054	6841452.5	141	65	54.33	0.5	double	1D	70	-5	5	1	1.33	55.66	2.45	1.33	0	20.6684	61.35	0	0	0
Site_R80_C3	2D	-1	1872050	6837414.55	1872050	6837275.55	151	69.5	64.61	1	double	1D	80	-5	5	1	0.5	65.11	0.78	0.5	0	23.3631	69.39	0	0	0
Site_R80_C4	2D	-1	1872054	6833242	1872054	6833168	161	74	72.89	1	double	1D	90	-5	5	1	1.42	74.31	1.95	1.42	0	24.6485	77.16	0	0	0
Site_R80_C6	2D	-1	1872054	6824878.8	1872054	6824971.2	191	92.4	104.84	1	double	1D	120	-5	5	1	2.94	107.78	2.8	2.94	0	30.3047	105.58	0	0	0.83926
Site_R81_C1	1D	-1	1876550	6846125	1876550	6845125	221	293	137.9	1	double	vrf	150	-5.86	5.86	1	0.27	138.17	0.2	0.27	0	36.714	132.61	0	0	0
Site_R81_C2	1D	-1	1876550	6841985	1876550	6840985	251	297	165.36	1	double	vrf	180	-5.94	5.94	1	0.22	165.58	0.13	0.22	0	41.2353	158.01	0	0	0
Site_R81_C3	1D	-1	1876550	6837845	1876550	6836845	281	285	193.01	1	double	vrf	210	-5.7	5.7	1	-0.02	192.99	0.01	0.02	0	37.9489	189.61	0	0	0
Site_R81_C6	1D	-1	1876550	6825425	1876550	6824425	431	278	324.94	1	double	vrf	360	-5.56	5.56	1	3.05	327.99	0.94	3.05	0	36.5996	326.71	0	0	0
Site_R82_C1	2D	-1	1881054	6845655.4	1881054	6845594.6	131	60.8	47.2	1	double	1D	60	-5	5	1	-0.16	47.04	0.35	0.16	0	19.0501	53.72	0	0	0
Site_R82_C2	2D	-1	1881050	6841547.4	1881050	6841422.6	140	62.4	46.34	0.5	double	1D	60	-5	5	1	1.58	47.92	3.41	1.58	0	17.4851	55.31	0	0	0
Site_R82_C5	1D	-1	1881054	6829098.8	1881054	6829031.2	180	67.6	53.65	1	double	1D	60	-2	2	1	-0.87	52.78	1.61	0.87	0	17.8537	60.17	0	0	0
Site_R82_C6	2D	-1	1881054	6824892.3	1881054	6824957.7	210	65.4	51.41	1	double	1D	60	-5	5	1	1.99	53.4	3.88	1.99	0	21.9982	59.01	0	0	0
Site_R83_C1	1D	-1	1885554	6845654.6	1885554	6845595.4	240	59.2	50.21	1	double	1D	60	-2	2	1	-1.16	49.05	2.31	1.16	0	23.1125	54.46	0	0	0
Site_R83_C3	1D	-1	1885554	6837311	1885554	6837379	320	68	49.46	1	double	1D	60	-2	2	1	1.87	51.33	3.77	1.87	0	18.1527	58.86	0	0	0
Site_R83_C4	1D	-1	1885554	6833174	1885554	6833236	380	62	46.45	1	double	1D	60	-2	2	1	1.73	48.18	3.72	1.73	0	23.8897	54.37	0	0	0
Site_R83_C6	1D	-1	1885554	6824954.5	1885554	6824895.5	510	59	45.25	1	double	1D	60	-2	2	1	1.99	47.24	4.41	1.99	0	23.4356	53.28	0	0	0
Site_R31_C1	1D	-1	1651554	6845652.5	1651554	6845597.5	131	55	44.86	1.5	DRsppitch	pw	60	-2	2	1	-1.9	42.96	4.23	2.38	0	21.5225	49.31	0	0	0
Site_R31_C2	1D	-1	1651554	6841512.7	1651554	6841457.3	132	55.4	44.1	1.5	DRsppitch	pw	60	-2	2	1	-0.85	43.25	1.92	2.64	0	21.3439	49.66	0	0	0
